productividad_id,fecha_id,empleado_id,pedidos_gestionados,importe_vendido,objetivo_diario,cumplimiento_pct
1,20210104,8,1,191.37,1198,15.97
2,20210104,9,2,680.38,1017,66.9
3,20210104,10,5,446.81,1344,33.24
4,20210104,11,2,262.67,1247,21.06
5,20210104,12,1,57.71,1136,5.08
6,20210104,13,2,257.9,791,32.6
7,20210104,14,1,218.25,719,30.35
8,20210104,15,4,296.61,1161,25.55
9,20210105,8,1,132.4,1237,10.7
10,20210105,9,4,302.45,902,33.53
11,20210105,10,2,142.47,1483,9.61
12,20210105,12,2,79.03,1024,7.72
13,20210105,13,2,256.17,600,42.69
14,20210105,14,2,229.65,814,28.21
15,20210105,15,2,523.41,1285,40.73
16,20210105,16,1,53.16,774,6.87
17,20210105,17,1,77.28,954,8.1
18,20210107,8,2,174.29,1111,15.69
19,20210107,9,2,151.12,660,22.9
20,20210107,10,3,189.29,1048,18.06
21,20210107,12,2,167.26,710,23.56
22,20210107,13,1,105.34,1398,7.54
23,20210107,15,4,239.48,1318,18.17
24,20210107,16,3,376.83,1079,34.92
25,20210108,9,3,269.94,1781,15.16
26,20210108,10,2,187.84,866,21.69
27,20210108,11,1,13.53,1673,0.81
28,20210108,12,1,48.99,1553,3.15
29,20210108,13,2,86.2,1619,5.32
30,20210108,14,1,43.68,1629,2.68
31,20210108,15,4,369.53,670,55.15
32,20210111,8,7,592.49,1537,38.55
33,20210111,9,1,92.19,1621,5.69
34,20210111,10,1,102.04,821,12.43
35,20210111,11,4,417.9,1648,25.36
36,20210111,12,5,484.55,1169,41.45
37,20210111,13,1,90.55,638,14.19
38,20210111,14,1,78.39,910,8.61
39,20210111,15,2,184.95,1343,13.77
40,20210111,16,1,23.06,616,3.74
41,20210112,8,5,436.28,866,50.38
42,20210112,10,1,51.5,682,7.55
43,20210112,14,1,385.04,1498,25.7
44,20210112,15,3,135.23,1073,12.6
45,20210112,16,1,53.46,732,7.3
46,20210113,8,4,229.1,635,36.08
47,20210113,10,4,364.09,887,41.05
48,20210113,12,3,277.58,630,44.06
49,20210113,14,2,322.16,749,43.01
50,20210113,15,3,211.81,656,32.29
51,20210114,8,3,751.2,666,112.79
52,20210114,9,1,98.28,1518,6.47
53,20210114,11,1,109.59,703,15.59
54,20210114,12,1,121.1,1652,7.33
55,20210114,13,2,243.25,1468,16.57
56,20210114,14,1,117.87,835,14.12
57,20210114,17,1,54.44,1765,3.08
58,20210115,8,1,244.57,1757,13.92
59,20210115,9,2,297.32,1192,24.94
60,20210115,10,1,42.32,1439,2.94
61,20210115,11,2,302.71,761,39.78
62,20210115,12,5,1384.48,1295,106.91
63,20210115,13,2,275.23,727,37.86
64,20210115,14,2,136.02,1046,13.0
65,20210115,15,3,218.57,1226,17.83
66,20210118,8,3,140.67000000000002,1286,10.94
67,20210118,9,1,46.36,1626,2.85
68,20210118,10,1,81.47,1193,6.83
69,20210118,12,7,678.5799999999999,1762,38.51
70,20210118,13,4,286.68,1455,19.7
71,20210118,14,1,107.04,1178,9.09
72,20210118,15,4,373.45,1576,23.7
73,20210118,16,2,242.23,763,31.75
74,20210119,8,1,20.48,1044,1.96
75,20210119,9,3,122.74,1070,11.47
76,20210119,10,1,84.22,1750,4.81
77,20210119,11,4,478.8200000000001,1419,33.74
78,20210119,13,2,143.4,1712,8.38
79,20210119,15,2,113.98,931,12.24
80,20210119,16,2,160.85,794,20.26
81,20210119,17,3,455.92,1152,39.58
82,20210120,9,5,321.04,722,44.47
83,20210120,10,3,203.03,684,29.68
84,20210120,11,1,57.49000000000001,1143,5.03
85,20210120,12,1,27.06,1443,1.88
86,20210120,13,1,81.44999999999999,1520,5.36
87,20210120,14,4,164.7,1403,11.74
88,20210120,15,1,132.42000000000002,642,20.63
89,20210120,16,2,149.42,1454,10.28
90,20210120,17,1,107.51,1434,7.5
91,20210121,8,1,59.42,1713,3.47
92,20210121,10,1,127.36,1116,11.41
93,20210121,12,1,13.62,1342,1.01
94,20210121,13,1,151.19,836,18.08
95,20210121,15,1,104.85,922,11.37
96,20210121,17,1,94.66,695,13.62
97,20210122,9,1,44.53,1094,4.07
98,20210122,10,2,99.44,1313,7.57
99,20210122,12,1,21.18,1300,1.63
100,20210122,14,2,121.85,650,18.75
101,20210122,15,1,375.56,1596,23.53
102,20210122,16,2,251.83,1567,16.07
103,20210125,8,2,295.77,630,46.95
104,20210125,9,1,54.85,913,6.01
105,20210125,12,1,59.62,809,7.37
106,20210125,13,2,121.12,796,15.22
107,20210125,14,1,97.53,1351,7.22
108,20210125,15,3,192.31,960,20.03
109,20210125,16,1,125.68,1564,8.04
110,20210125,17,1,93.82,1715,5.47
111,20210126,9,1,169.08,1469,11.51
112,20210126,10,1,39.150000000000006,1056,3.71
113,20210126,13,1,138.08,967,14.28
114,20210126,14,1,81.07,1634,4.96
115,20210126,15,2,243.18,1050,23.16
116,20210126,16,1,60.77,816,7.45
117,20210126,17,1,124.08,1259,9.86
118,20210127,8,1,73.32,1629,4.5
119,20210127,9,3,593.0600000000001,1244,47.67
120,20210127,11,5,430.28,1210,35.56
121,20210127,12,2,112.07,1493,7.51
122,20210127,13,1,101.3,1191,8.51
123,20210127,14,1,118.72,1540,7.71
124,20210127,15,3,246.68,1427,17.29
125,20210128,8,6,826.8,1736,47.63
126,20210128,9,7,526.1,958,54.92
127,20210128,10,2,135.82,1463,9.28
128,20210128,12,1,86.22,735,11.73
129,20210128,13,2,160.79,1570,10.24
130,20210128,14,2,147.82,1772,8.34
131,20210128,15,2,99.7,797,12.51
132,20210128,16,3,213.82,1719,12.44
133,20210129,8,1,56.81,934,6.08
134,20210129,9,1,130.62,1279,10.21
135,20210129,10,3,542.49,1295,41.89
136,20210129,12,3,210.54,1460,14.42
137,20210129,13,1,73.88000000000001,1127,6.56
138,20210129,16,1,95.87,1267,7.57
139,20210201,8,1,38.72,1359,2.85
140,20210201,10,1,141.06,1758,8.02
141,20210201,11,2,210.48,783,26.88
142,20210201,12,2,208.91,991,21.08
143,20210201,13,1,27.94,1174,2.38
144,20210201,14,1,116.02,1239,9.36
145,20210201,15,2,111.82,1265,8.84
146,20210201,16,2,268.96,1429,18.82
147,20210201,17,1,95.53,1798,5.31
148,20210202,8,1,57.64,1358,4.24
149,20210202,9,1,113.82,1305,8.72
150,20210202,10,1,46.89,1323,3.54
151,20210202,11,1,221.28,1774,12.47
152,20210202,12,4,689.21,788,87.46
153,20210202,14,1,100.87,1470,6.86
154,20210202,15,1,29.41,1532,1.92
155,20210203,8,1,391.61,730,53.65
156,20210203,9,2,133.33,1185,11.25
157,20210203,12,1,36.09,1013,3.56
158,20210203,14,2,93.04,1296,7.18
159,20210203,15,1,80.81,1313,6.15
160,20210203,16,2,202.36,1095,18.48
161,20210204,8,6,597.47,858,69.64
162,20210204,10,1,155.74,712,21.87
163,20210204,11,1,195.49,1146,17.06
164,20210204,13,3,199.53,1721,11.59
165,20210204,14,1,54.290000000000006,1315,4.13
166,20210204,15,3,243.95,1656,14.73
167,20210204,16,1,114.82,1410,8.14
168,20210205,8,3,319.4,1088,29.36
169,20210205,10,3,221.63,1395,15.89
170,20210205,11,3,229.09,1010,22.68
171,20210205,13,1,97.48,1479,6.59
172,20210205,15,2,127.03,707,17.97
173,20210205,16,1,199.4,1226,16.26
174,20210208,9,1,84.85,1382,6.14
175,20210208,10,1,36.06,1370,2.63
176,20210208,14,2,277.66,1743,15.93
177,20210208,16,1,206.49,1678,12.31
178,20210209,9,1,60.81,1154,5.27
179,20210209,10,2,99.4,666,14.92
180,20210209,11,1,100.8,1619,6.23
181,20210209,14,2,430.82,1328,32.44
182,20210209,15,2,305.6,706,43.29
183,20210210,8,3,355.48,1664,21.36
184,20210210,9,1,296.41,797,37.19
185,20210210,12,2,399.63,710,56.29
186,20210210,14,1,548.91,609,90.13
187,20210210,15,3,272.38,1151,23.66
