venta_id,pedido_id,fecha_id,fecha_entrega,cliente_id,empleado_id,producto_id,cantidad,precio_unitario,coste_unitario,importe,coste_total,beneficio,estado_pedido,dias_entrega,fecha,mes
1,100001,20250825,2025-08-27,1996,9,3,6,2.51,0.94,15.06,5.64,9.42,Entregado,2.0,2025-08-25,8
2,100002,20250324,2025-03-27,840,12,16,9,2.1,0.81,18.9,7.29,11.61,Entregado,3.0,2025-03-24,3
3,100002,20250324,2025-03-27,840,12,24,5,3.67,2.07,18.35,10.35,8.0,Entregado,3.0,2025-03-24,3
4,100002,20250324,2025-03-27,840,12,2,2,1.88,0.92,3.76,1.84,1.92,Entregado,3.0,2025-03-24,3
5,100002,20250324,2025-03-27,840,12,1,4,2.27,1.15,9.08,4.6,4.48,Entregado,3.0,2025-03-24,3
6,100002,20250324,2025-03-27,840,12,6,12,5.2,2.27,62.4,27.24,35.16,Entregado,3.0,2025-03-24,3
7,100003,20220322,2022-03-23,1877,10,9,7,4.51,1.63,31.57,11.41,20.16,Entregado,1.0,2022-03-22,3
8,100003,20220322,2022-03-23,1877,10,5,5,2.19,0.79,10.95,3.95,7.0,Entregado,1.0,2022-03-22,3
9,100003,20220322,2022-03-23,1877,10,8,11,4.1,2.41,45.1,26.51,18.59,Entregado,1.0,2022-03-22,3
10,100004,20210811,2021-08-13,1081,9,3,3,2.51,0.94,7.53,2.82,4.71,Entregado,2.0,2021-08-11,8
11,100004,20210811,2021-08-13,1081,9,25,7,3.77,2.3,26.39,16.1,10.29,Entregado,2.0,2021-08-11,8
12,100004,20210811,2021-08-13,1081,9,2,9,1.88,0.92,16.92,8.28,8.64,Entregado,2.0,2021-08-11,8
13,100005,20240403,2024-04-04,1833,17,27,12,2.28,0.94,27.36,11.28,16.08,Entregado,1.0,2024-04-03,4
14,100005,20240403,2024-04-04,1833,17,7,20,4.06,2.33,81.2,46.6,34.6,Entregado,1.0,2024-04-03,4
15,100005,20240403,2024-04-04,1833,17,15,17,4.1,1.66,69.7,28.22,41.48,Entregado,1.0,2024-04-03,4
16,100005,20240403,2024-04-04,1833,17,10,34,2.73,1.51,92.82,51.34,41.48,Entregado,1.0,2024-04-03,4
17,100006,20220111,2022-01-12,570,12,14,6,2.97,1.79,17.82,10.74,7.08,Entregado,1.0,2022-01-11,1
18,100006,20220111,2022-01-12,570,12,11,4,3.07,1.49,12.28,5.96,6.32,Entregado,1.0,2022-01-11,1
19,100007,20250227,2025-03-02,1932,15,6,7,5.2,2.27,36.4,15.89,20.51,Entregado,3.0,2025-02-27,2
20,100007,20250227,2025-03-02,1932,15,20,9,2.98,1.26,26.82,11.34,15.48,Entregado,3.0,2025-02-27,2
21,100007,20250227,2025-03-02,1932,15,9,8,4.51,1.63,36.08,13.04,23.04,Entregado,3.0,2025-02-27,2
22,100008,20210329,2021-03-31,1359,10,9,6,4.51,1.63,27.06,9.78,17.28,Entregado,2.0,2021-03-29,3
23,100008,20210329,2021-03-31,1359,10,15,8,4.1,1.66,32.8,13.28,19.52,Entregado,2.0,2021-03-29,3
24,100008,20210329,2021-03-31,1359,10,6,12,5.2,2.27,62.4,27.24,35.16,Entregado,2.0,2021-03-29,3
