ausencia_id,empleado_id,fecha_inicio,fecha_fin,tipo_ausencia,dias_ausencia
1,14,2024-04-08,2024-04-30,Vacaciones,22
2,13,2023-01-29,2023-02-13,Vacaciones,15
3,24,2025-05-06,2025-05-28,Vacaciones,22
4,6,2021-09-21,2021-10-21,Vacaciones,30
5,23,2021-08-27,2021-09-16,Vacaciones,20
6,25,2021-10-23,2021-10-27,Formación,4
7,22,2023-07-29,2023-08-28,Vacaciones,30
8,29,2024-04-11,2024-04-12,Permiso,1
9,7,2021-03-15,2021-03-17,Permiso,2
10,11,2022-10-05,2022-10-08,Formación,3
11,18,2025-11-06,2025-11-21,Vacaciones,15
12,3,2021-06-14,2021-06-28,Baja Médica,14
13,30,2025-05-15,2025-05-30,Vacaciones,15
14,3,2022-12-16,2022-12-31,Vacaciones,15
15,23,2022-11-11,2022-12-10,Baja Médica,29
16,6,2022-12-11,2022-12-28,Baja Médica,17
17,19,2023-08-10,2023-09-09,Vacaciones,30
18,23,2021-11-22,2021-12-14,Vacaciones,22
19,14,2021-11-20,2021-11-26,Baja Médica,6
20,8,2025-09-17,2025-10-10,Baja Médica,23
21,19,2023-07-03,2023-07-28,Vacaciones,25
22,28,2024-06-05,2024-06-25,Baja Médica,20
23,9,2024-03-29,2024-04-28,Vacaciones,30
24,9,2025-05-17,2025-06-08,Vacaciones,22
25,8,2023-09-12,2023-10-02,Baja Médica,20
26,21,2024-04-17,2024-05-07,Vacaciones,20
27,21,2022-07-28,2022-08-19,Vacaciones,22
28,2,2023-11-22,2023-11-24,Permiso,2
29,24,2021-09-13,2021-10-08,Vacaciones,25
30,17,2025-03-31,2025-04-15,Vacaciones,15
31,19,2023-01-21,2023-02-10,Vacaciones,20
32,22,2023-05-17,2023-06-08,Vacaciones,22
33,10,2021-06-11,2021-07-03,Vacaciones,22
34,25,2023-01-19,2023-01-27,Baja Médica,8
35,15,2025-11-08,2025-11-13,Formación,5
36,24,2024-02-16,2024-03-07,Vacaciones,20
37,3,2021-05-24,2021-06-18,Vacaciones,25
38,27,2021-12-06,2021-12-31,Vacaciones,25
39,30,2021-05-07,2021-06-01,Vacaciones,25
40,28,2021-10-16,2021-11-10,Vacaciones,25
41,13,2024-02-10,2024-02-11,Permiso,1
42,25,2024-06-16,2024-06-20,Baja Médica,4
43,22,2025-01-21,2025-02-03,Baja Médica,13
44,29,2025-03-04,2025-03-09,Baja Médica,5
45,29,2022-11-27,2022-11-28,Permiso,1
46,8,2024-05-15,2024-06-14,Vacaciones,30
47,5,2025-05-21,2025-06-20,Vacaciones,30
48,23,2022-05-08,2022-06-02,Vacaciones,25
49,12,2024-08-31,2024-09-20,Vacaciones,20
50,28,2021-06-26,2021-07-10,Baja Médica,14
51,11,2023-03-31,2023-04-25,Vacaciones,25
52,26,2023-04-26,2023-05-26,Vacaciones,30
53,24,2021-07-15,2021-08-06,Vacaciones,22
54,10,2023-06-01,2023-07-01,Vacaciones,30
55,17,2021-04-24,2021-05-16,Vacaciones,22
56,13,2025-03-14,2025-04-08,Baja Médica,25
57,16,2022-05-10,2022-05-15,Baja Médica,5
58,14,2022-01-25,2022-02-24,Vacaciones,30
