cliente_id,nombre_cliente,tipo_cliente,zona_id,nombre_zona,fecha_alta,activo
1,Bar Lorenzo,Bar,6,Alcobendas,2018-09-11,Sí
2,Bar Rozas,Bar,4,Madrid Este,2026-05-29,No
3,Tienda Serra,Tienda,4,Madrid Este,2022-07-23,No
4,Tienda Boada,Tienda,1,Madrid Centro,2017-11-03,Sí
5,Gasolinera Villalba,Gasolinera,7,San Sebastián de los Reyes,2021-08-30,Sí
6,Supermercado Ibarra,Supermercado,3,Madrid Sur,2025-07-19,Sí
7,Tienda Isern,Tienda,12,Fuenlabrada,2016-06-06,Sí
8,Bar Capdevila,Bar,1,Madrid Centro,2022-12-17,Sí
9,Tienda Alba,Tienda,10,Móstoles,2025-04-14,Sí
10,Supermercado Alfaro,Supermercado,7,San Sebastián de los Reyes,2022-02-08,Sí
11,Restaurante Osuna,Restaurante,9,Leganés,2017-11-15,Sí
12,Tienda Villegas,Tienda,1,Madrid Centro,2022-01-31,Sí
13,Tienda Piñol,Tienda,5,Madrid Oeste,2022-06-12,Sí
14,Bar Landa,Bar,1,Madrid Centro,2024-08-07,Sí
15,Bar Cámara,Bar,3,Madrid Sur,2024-12-09,Sí
16,Restaurante Carrera,Restaurante,4,Madrid Este,2017-09-01,Sí
17,Bar Galán,Bar,2,Madrid Norte,2025-03-14,Sí
18,Gasolinera Oliver,Gasolinera,8,Getafe,2024-06-16,Sí
19,Restaurante Cruz,Restaurante,1,Madrid Centro,2017-03-22,Sí
20,Bar Márquez,Bar,6,Alcobendas,2024-03-26,Sí
21,Bar Alcaraz,Bar,8,Getafe,2016-11-29,Sí
22,Tienda Vazquez,Tienda,9,Leganés,2019-11-13,Sí
23,Gasolinera Rico,Gasolinera,7,San Sebastián de los Reyes,2021-04-29,Sí
24,Restaurante Alcalde,Restaurante,8,Getafe,2017-07-24,Sí
25,Tienda Moreno,Tienda,3,Madrid Sur,2018-02-05,Sí
26,Bar Chaparro,Bar,9,Leganés,2025-09-21,Sí
27,Tienda Benavides,Tienda,1,Madrid Centro,2025-05-13,Sí
28,Restaurante Morales,Restaurante,1,Madrid Centro,2017-08-14,Sí
29,Bar Álvarez,Bar,7,San Sebastián de los Reyes,2020-05-20,Sí
30,Supermercado Tena,Supermercado,2,Madrid Norte,2018-10-28,Sí
31,Restaurante Elorza,Restaurante,2,Madrid Norte,2026-05-04,Sí
32,Restaurante Vicens,Restaurante,1,Madrid Centro,2016-06-19,Sí
33,Tienda Juárez,Tienda,2,Madrid Norte,2021-06-11,Sí
34,Bar Cuéllar,Bar,4,Madrid Este,2021-08-05,Sí
35,Bar Méndez,Bar,4,Madrid Este,2019-01-10,Sí
36,Bar Carmona,Bar,4,Madrid Este,2017-07-02,Sí
37,Tienda Carvajal,Tienda,2,Madrid Norte,2020-04-04,Sí
38,Bar Álamo,Bar,2,Madrid Norte,2020-04-22,Sí
39,Tienda Piquer,Tienda,3,Madrid Sur,2025-11-03,Sí
40,Gasolinera Hierro,Gasolinera,1,Madrid Centro,2024-08-06,Sí
41,Tienda Pizarro,Tienda,1,Madrid Centro,2025-12-15,Sí
42,Bar Mesa,Bar,4,Madrid Este,2021-09-30,Sí
43,Bar Macias,Bar,1,Madrid Centro,2020-06-26,Sí
44,Bar Aguirre,Bar,9,Leganés,2026-01-19,Sí
45,Bar Pulido,Bar,10,Móstoles,2022-07-07,Sí
46,Bar Rocamora,Bar,5,Madrid Oeste,2023-10-30,Sí
47,Bar Abascal,Bar,1,Madrid Centro,2024-07-19,Sí
48,Gasolinera Fuertes,Gasolinera,9,Leganés,2019-08-08,Sí
49,Bar Santiago,Bar,4,Madrid Este,2018-08-17,Sí
50,Bar Hoyos,Bar,8,Getafe,2022-08-17,Sí
51,Bar Arroyo,Bar,3,Madrid Sur,2023-03-16,Sí
52,Tienda Morera,Tienda,3,Madrid Sur,2021-03-02,Sí
53,Restaurante Molins,Restaurante,3,Madrid Sur,2024-12-05,Sí
54,Bar Iborra,Bar,9,Leganés,2018-10-30,Sí
55,Bar Torres,Bar,9,Leganés,2022-07-25,Sí
56,Restaurante Vilalta,Restaurante,1,Madrid Centro,2020-05-30,Sí
57,Restaurante Adadia,Restaurante,4,Madrid Este,2025-05-13,Sí
58,Bar Roura,Bar,4,Madrid Este,2023-02-06,Sí
59,Bar Bayona,Bar,1,Madrid Centro,2018-02-17,No
60,Bar Sevillano,Bar,10,Móstoles,2019-11-09,Sí
61,Tienda Nebot,Tienda,1,Madrid Centro,2018-01-25,Sí
62,Supermercado Quiroga,Supermercado,1,Madrid Centro,2025-10-12,Sí
63,Gasolinera Valdés,Gasolinera,8,Getafe,2021-01-21,Sí
64,Supermercado Lucas,Supermercado,9,Leganés,2024-04-17,Sí
65,Bar Benitez,Bar,6,Alcobendas,2023-05-13,Sí
66,Supermercado Benavente,Supermercado,7,San Sebastián de los Reyes,2019-08-20,Sí
67,Supermercado Escamilla,Supermercado,10,Móstoles,2024-06-21,Sí
68,Supermercado Mata,Supermercado,1,Madrid Centro,2018-02-16,Sí
69,Supermercado Lozano,Supermercado,12,Fuenlabrada,2017-02-18,Sí
70,Tienda Mata,Tienda,2,Madrid Norte,2024-03-18,Sí
71,Supermercado Folch,Supermercado,4,Madrid Este,2025-09-03,No
72,Restaurante Pujadas,Restaurante,5,Madrid Oeste,2024-07-02,Sí
73,Bar Montesinos,Bar,4,Madrid Este,2016-06-30,Sí
74,Supermercado Aguirre,Supermercado,4,Madrid Este,2020-10-10,Sí
75,Bar Guardiola,Bar,1,Madrid Centro,2017-04-04,Sí
76,Restaurante Quintanilla,Restaurante,6,Alcobendas,2018-05-16,Sí
77,Bar Valbuena,Bar,5,Madrid Oeste,2017-07-25,Sí
78,Supermercado Contreras,Supermercado,7,San Sebastián de los Reyes,2024-08-10,Sí
79,Restaurante Santiago,Restaurante,2,Madrid Norte,2018-06-26,Sí
80,Bar Murcia,Bar,9,Leganés,2022-10-20,No
81,Bar Villegas,Bar,12,Fuenlabrada,2018-05-17,Sí
82,Bar Moraleda,Bar,6,Alcobendas,2023-07-30,Sí
83,Bar Lastra,Bar,2,Madrid Norte,2025-05-10,Sí
84,Bar Guzmán,Bar,2,Madrid Norte,2017-07-04,No
85,Bar Piñeiro,Bar,4,Madrid Este,2021-07-16,Sí
86,Bar Vera,Bar,3,Madrid Sur,2024-05-20,Sí
87,Bar Gonzalez,Bar,5,Madrid Oeste,2019-08-08,Sí
88,Supermercado Puente,Supermercado,4,Madrid Este,2020-01-22,Sí
89,Bar Bartolomé,Bar,10,Móstoles,2017-07-10,Sí
90,Tienda Hoyos,Tienda,12,Fuenlabrada,2022-10-31,Sí
91,Tienda Miranda,Tienda,3,Madrid Sur,2024-12-05,No
92,Bar Mercader,Bar,11,Alcorcón,2024-02-18,Sí
93,Bar Rocamora,Bar,1,Madrid Centro,2024-03-16,Sí
94,Restaurante Arteaga,Restaurante,9,Leganés,2017-08-15,Sí
95,Gasolinera Clemente,Gasolinera,1,Madrid Centro,2026-02-09,Sí
96,Gasolinera Gárate,Gasolinera,4,Madrid Este,2017-09-17,Sí
97,Restaurante Río,Restaurante,1,Madrid Centro,2018-03-31,Sí
98,Bar Muro,Bar,3,Madrid Sur,2017-06-16,Sí
99,Supermercado Rodrigo,Supermercado,3,Madrid Sur,2025-03-21,Sí
100,Bar Canals,Bar,5,Madrid Oeste,2024-02-28,Sí
101,Restaurante Saura,Restaurante,7,San Sebastián de los Reyes,2023-08-08,Sí
102,Bar Enríquez,Bar,2,Madrid Norte,2017-05-10,Sí
103,Bar Roma,Bar,9,Leganés,2021-08-13,Sí
104,Tienda Canals,Tienda,11,Alcorcón,2017-03-19,No
105,Bar Viñas,Bar,5,Madrid Oeste,2025-05-25,Sí
106,Restaurante Acero,Restaurante,3,Madrid Sur,2021-03-15,Sí
107,Bar Borrás,Bar,3,Madrid Sur,2024-05-02,Sí
108,Restaurante Guardia,Restaurante,1,Madrid Centro,2016-12-13,Sí
109,Restaurante Feliu,Restaurante,8,Getafe,2019-02-23,Sí
110,Bar Criado,Bar,1,Madrid Centro,2024-01-17,Sí
111,Gasolinera Gil,Gasolinera,8,Getafe,2018-01-04,Sí
112,Tienda Casal,Tienda,5,Madrid Oeste,2017-06-05,Sí
113,Supermercado Mateu,Supermercado,9,Leganés,2019-05-18,Sí
114,Tienda Blanch,Tienda,1,Madrid Centro,2020-05-06,Sí
115,Supermercado Morata,Supermercado,5,Madrid Oeste,2020-09-20,Sí
116,Bar Porras,Bar,9,Leganés,2024-10-20,Sí
117,Bar Ibañez,Bar,10,Móstoles,2021-02-16,Sí
118,Tienda Ribera,Tienda,4,Madrid Este,2016-10-30,No
119,Tienda Arrieta,Tienda,6,Alcobendas,2020-08-01,Sí
120,Bar Almansa,Bar,3,Madrid Sur,2025-03-13,Sí
121,Bar Jerez,Bar,5,Madrid Oeste,2021-08-29,Sí
122,Bar Juan,Bar,1,Madrid Centro,2024-03-29,Sí
123,Tienda Criado,Tienda,11,Alcorcón,2021-06-04,Sí
124,Restaurante Lluch,Restaurante,5,Madrid Oeste,2018-07-11,No
125,Bar Bonet,Bar,1,Madrid Centro,2023-02-08,Sí
126,Restaurante Gil,Restaurante,10,Móstoles,2017-08-01,Sí
127,Gasolinera Sastre,Gasolinera,6,Alcobendas,2019-04-21,Sí
128,Tienda Raya,Tienda,5,Madrid Oeste,2024-12-07,Sí
129,Bar Sánchez,Bar,5,Madrid Oeste,2025-01-23,Sí
130,Bar Sureda,Bar,10,Móstoles,2017-08-23,Sí
131,Bar Bermúdez,Bar,8,Getafe,2017-01-28,Sí
132,Tienda Uriarte,Tienda,8,Getafe,2019-02-16,No
