producto_id,nombre_producto,categoria,marca,coste,precio_venta,margen_bruto_pct,popularidad,temporada_fuerte
1,Pipas Original,Pipas,Grefusa,1.02,2.17,53.0,10,Todo el año
2,Pipas Tijuana,Pipas,Grefusa,1.15,2.21,47.96,9,Todo el año
3,Pipas Agua Sal,Pipas,Grefusa,1.19,2.88,58.68,8,Todo el año
4,Pipas XXL,Pipas,Grefusa,0.62,1.68,63.1,5,Todo el año
5,Pipas Gigantes,Pipas,Grefusa,1.17,2.97,60.61,5,Todo el año
6,Almendras,Frutos Secos,Grefusa,1.51,3.65,58.63,5,Invierno
7,Cacahuetes,Frutos Secos,Grefusa,1.26,2.26,44.25,5,Invierno
8,Anacardos,Frutos Secos,Grefusa,1.27,2.33,45.49,5,Invierno
9,Pistachos,Frutos Secos,Grefusa,1.21,3.28,63.11,5,Invierno
10,Avellanas,Frutos Secos,Grefusa,2.37,4.16,43.03,5,Invierno
11,Nueces,Frutos Secos,Grefusa,1.62,3.47,53.31,5,Invierno
12,Gublins Jamón,Snacks,Grefusa,0.85,1.48,42.57,5,Todo el año
13,Gublins Queso,Snacks,Grefusa,0.8,1.32,39.39,5,Todo el año
14,Papa Delta Original,Snacks,Grefusa,0.93,1.97,52.79,5,Todo el año
15,Papa Delta Campesinas,Snacks,Grefusa,1.25,3.15,60.32,5,Todo el año
16,Papa Delta Barbacoa,Snacks,Grefusa,0.95,1.81,47.51,5,Todo el año
17,Snack Mix,Snacks,Grefusa,0.81,2.04,60.29,5,Todo el año
18,MisterCorn Original,MisterCorn,Grefusa,0.83,2.21,62.44,8,Todo el año
19,MisterCorn BBQ,MisterCorn,Grefusa,1.04,1.67,37.72,7,Todo el año
20,MisterCorn Picante,MisterCorn,Grefusa,1.52,3.76,59.57,5,Todo el año
21,MisterCorn Queso,MisterCorn,Grefusa,1.48,2.73,45.79,5,Todo el año
22,Cocktail,Mix,Grefusa,1.28,2.77,53.79,6,Navidad
23,Mix Energy,Mix,Grefusa,2.46,5.67,56.61,5,Navidad
24,Mix Premium,Mix,Grefusa,2.11,5.62,62.46,5,Navidad
25,Mix Frutos Secos,Mix,Grefusa,2.13,3.55,40.0,5,Navidad
26,Palomitas Mantequilla,Palomitas,Grefusa,0.98,2.73,64.1,5,Verano
27,Palomitas Dulces,Palomitas,Grefusa,0.56,1.37,59.12,3,Verano
28,Palomitas Saladas,Palomitas,Grefusa,0.73,2.01,63.68,5,Verano
